prefix,function,expansion
"['add', 'pow', 'x', 'x', 'acos', 'add', 'x', 'mul', 's-', '1', 'pow', 'x', 'mul', 's+', '3', 'pow', 's+', '2', 's-', '1']",x**x + acos(-x**(3/2) + x),1 + pi/2
"['add', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",-x**2 + x,-x**2 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'acot', 'x']",x**2 + x*acot(x),x**4/3 + pi*x/2
"['mul', 's-', '2', 'x']",-2*x,-2*x
"['add', 'pow', 'cos', 'pow', 'x', 's+', '2', 's+', '3', 'mul', 's-', '1', 'acot', 'add', 'x', 'mul', 's-', '1', 'tan', 'x']",cos(x**2)**3 - acot(x - tan(x)),-3*x**4/2 - x**3/3 - pi/2 + 1
"['pow', 'x', 's+', '3']",x**3,x**3
"['add', 'x', 'add', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '2', '5', '6', 'pow', 'x', 's+', '9', 'add', 'mul', 's+', '2', '4', '5', '7', '6', 'pow', 'x', 's+', '1', '4', 'add', 'mul', 's+', '1', '0', '4', '8', '5', '7', '6', 'pow', 'x', 's+', '1', '9', 'mul', 's+', '1', '6', '7', '7', '7', '2', '1', '6', 'pow', 'x', 's+', '2', '4']",16777216*x**24 + 1048576*x**19 + 24576*x**14 + 256*x**9 + x**4 + x,x**4 + x
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",x**2 - x,x**2 - x
"['add', 'pow', 'x', 's+', '6', 'cos', 'x']",x**6 + cos(x),x**4/24 - x**2/2 + 1
"['pow', 'add', 's+', '1', 'mul', 's+', '3', 'x', 's-', '1']",1/(3*x + 1),81*x**4 - 27*x**3 + 9*x**2 - 3*x + 1
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '3']",x**3 + x**2,x**3 + x**2
"['add', 'x', 'mul', 's-', '1', 'mul', 'x', 'tan', 'x']",-x*tan(x) + x,-x**4/3 - x**2 + x
"['mul', 'acos', 'tan', 'x', 'sin', 'pow', 'x', 's+', '2']",sin(x**2)*acos(tan(x)),-x**3 + pi*x**2/2
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '3', 'mul', 's-', '1', 'mul', 'x', 'acot', 'pow', 'x', 's+', '4']",-x**3 + x**2 - x*acot(x**4) + x,-x**3 + x**2 + x*(1 - pi/2)
"['cos', 'sin', 'mul', 's+', '2', 'x']",cos(sin(2*x)),10*x**4/3 - 2*x**2 + 1
"['pow', 'cos', 'x', 's+', '2']",cos(x)**2,x**4/3 - x**2 + 1
"['acot', 'pow', 'x', 's+', '2']",acot(x**2),-x**2 + pi/2
"['asin', 'add', 's+', '1', 'x']",asin(x + 1),pi/2
"['add', 'pow', 'x', 's+', '4', 'add', 'pow', 'x', 's+', '1', '8', 'mul', 's-', '1', 'x']",x**18 + x**4 - x,x**4 - x
"['mul', 'exp', 'pow', 'x', 's+', '2', 'exp', 'pow', 'x', 's+', '7']",exp(x**2)*exp(x**7),x**4/2 + x**2 + 1
"['mul', 's+', '3', 'x']",3*x,3*x
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['add', 'x', 'sin', 'pow', 'x', 's+', '2']",x + sin(x**2),x**2 + x
"['add', 'mul', 's-', '2', 'x', 'tan', 'x']",-2*x + tan(x),x**3/3 - x
"['add', 'x', 'acos', 'x']",x + acos(x),-x**3/6 + pi/2
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x']",-x**2*cos(x) + x**2,x**4/2
"['add', 'x', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'acot', 'x', 's+', '2', 'mul', 's-', '2', 'mul', 'x', 'acot', 'x']",x**2 - 2*x*acot(x) + x + acot(x)**2,-4*x**4/3 + pi*x**3/3 + 4*x**2 + x*(1 - 2*pi) + pi**2/4
"['add', 'mul', 's+', '3', 'x', 'mul', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'pi']",3*x - pi/2,3*x - pi/2
"['add', 'pow', 'add', 's-', '1', 'x', 's-', '1', 'add', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's-', '1', 'x', 's-', '1', 'mul', 's-', '1', 'mul', 'x', 'pow', 'add', 's-', '1', 'x', 's-', '1']",x**2/(x - 1) - x/(x - 1) + 1/(x - 1),-x**4 - x**3 - x**2 - 1
"['acot', 'acos', 'mul', 's+', '2', 'x']",acot(acos(2*x)),4*x**4*(-6*pi/(1 + pi**2/4)**2 + 2*pi/(1 + pi**2/4) + 3*pi**3/(1 + pi**2/4)**3)/(3*(1 + pi**2/4)) + 4*x**3*(-2/(1 + pi**2/4) + 1 + 2*pi**2/(1 + pi**2/4)**2)/(3*(1 + pi**2/4)) + 2*pi*x**2/(1 + pi**2/4)**2 + 2*x/(1 + pi**2/4) + acot(pi/2)
"['add', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'x']",x + 1/2,x + 1/2
"['mul', 's-', '1', 'mul', 'x', 'sin', 'add', 'x', 'mul', 's-', '1', 'cos', 'pow', 'x', 's+', '3']",-x*sin(x - cos(x**3)),x**4*cos(1)/6 - x**3*sin(1)/2 - x**2*cos(1) + x*sin(1)
"['pow', 'add', 's+', '1', 'add', 'mul', 's-', '1', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '5', 's-', '1']",1/(2*x**5 - x + 1),x**4 + x**3 + x**2 + x + 1
"['add', 'x', 'sin', 'pow', 'x', 's+', '4']",x + sin(x**4),x**4 + x
"['sin', 'mul', 'pow', 'x', 's+', '2', 'acos', 'pow', 'x', 's+', '5']",sin(x**2*acos(x**5)),pi*x**2/2
"['add', 'mul', 's+', '3', 'x', 'mul', 'pow', 'x', 's+', '6', 'sin', 'x']",x**6*sin(x) + 3*x,3*x
"['mul', 's+', '2', 'pow', 'cos', 'x', 's+', '2']",2*cos(x)**2,2*x**4/3 - 2*x**2 + 2
"['pow', 'x', 's+', '4']",x**4,x**4
"['add', 's+', '2', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",2 - x**2,2 - x**2
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'cos', 'tan', 'x']",-x**5 - x + cos(tan(x)),-7*x**4/24 - x**2/2 - x + 1
"['add', 'x', 'sin', 's+', '1']",x + sin(1),x + sin(1)
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '1', '8', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '9', '6', 'mul', 'pow', 'x', 's+', '8', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '7', '6', 'mul', 'pow', 'x', 's+', '6', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '7', '5', 'mul', 'pow', 'x', 's+', '1', '0', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '4', '5', 'mul', 'pow', 'x', 's+', '4', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '3', '5', 'mul', 'pow', 'x', 's+', '1', '2', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '1', '5', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '1', '5', 'mul', 'pow', 'x', 's+', '1', '4', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's-', '6', 'mul', 'pow', 'x', 's+', '1', '6', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '6', 'mul', 'x', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '6', 'mul', 'pow', 'x', 's+', '1', '5', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '2', '6', 'mul', 'pow', 'x', 's+', '3', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '3', '0', 'mul', 'pow', 'x', 's+', '1', '3', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '6', '0', 'mul', 'pow', 'x', 's+', '1', '1', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '6', '6', 'mul', 'pow', 'x', 's+', '5', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'add', 'mul', 's+', '8', '0', 'mul', 'pow', 'x', 's+', '9', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1', 'mul', 's+', '9', '0', 'mul', 'pow', 'x', 's+', '7', 'pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '1', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '8', 'mul', 's+', '2', '0', 'pow', 'x', 's+', '6', 's-', '1']",-x**18/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 6*x**16/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 6*x**15/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 15*x**14/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 30*x**13/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 35*x**12/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 60*x**11/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 75*x**10/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 80*x**9/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 96*x**8/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 90*x**7/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 76*x**6/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 66*x**5/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 45*x**4/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + 26*x**3/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 15*x**2/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) + x + 6*x/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1) - 1/(x**12 + 6*x**10 + 15*x**8 + 20*x**6 + 15*x**4 + 6*x**2 + 1),24*x**4 - 10*x**3 - 9*x**2 + 7*x - 1
"['pow', 'exp', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(exp(x)),x**4/384 + x**3/48 + x**2/8 + x/2 + 1
"['mul', 's-', '1', 'sin', 'mul', 's+', '2', 'x']",-sin(2*x),4*x**3/3 - 2*x
"['pow', 'cos', 'x', 'add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '3']",cos(x)**(x**3 + x**2),1 - x**4/2
"['acot', 'x']",acot(x),x**3/3 - x + pi/2
"['add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",1 - x**2,1 - x**2
"['add', 's+', '1', 'add', 'x', 'mul', 's-', '1', 'acot', 'cos', 'x']",x - acot(cos(x)) + 1,-x**4/24 - x**2/4 + x - pi/4 + 1
"['add', 'x', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 'pow', 'x', 's+', '2', 'sin', 'x']",x**2*sin(x) - x**2 + x,x**3 - x**2 + x
"['sin', 'exp', 'sin', 'x']",sin(exp(sin(x))),x**4*(-9*cos(1) - 2*sin(1))/24 + x**3*(-3*sin(1) - cos(1))/6 + x**2*(-sin(1) + cos(1))/2 + x*cos(1) + sin(1)
