prefix,function,expansion
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'add', 'mul', 'pow', 'x', 's+', '2', 'tan', 'x', 'mul', 's-', '1', 'mul', 'x', 'tan', 'x']",-x**5 + x**4 + x**2*tan(x) - x*tan(x),2*x**4/3 + x**3 - x**2
"['mul', 's-', '1', 'tan', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '3', 'x']",-tan(x**2 - 3*x),-9*x**4 + 9*x**3 - x**2 + 3*x
"['mul', 's+', '2', 'x']",2*x,2*x
"['ln', 'add', 'x', 'acot', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1']",log(x + acot(x**(5/2))),-2*x**2/pi**2 + 2*x/pi + log(pi/2)
"['add', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",-x**2 + x,-x**2 + x
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 's+', '1', 'add', 'x', 'pow', 'x', 's+', '2']",x**2 + x + 1,x**2 + x + 1
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '2', 'x']",x**2 - 2*x,x**2 - 2*x
"['mul', 'x', 'exp', 'pow', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x*exp(sqrt(x**2)),x**3 + x
"['add', 'pow', 'x', 's+', '3', 'add', 'pow', 'tan', 'x', 's+', '3', 'add', 'mul', 's+', '3', 'mul', 'x', 'pow', 'tan', 'x', 's+', '2', 'mul', 's+', '3', 'mul', 'pow', 'x', 's+', '2', 'tan', 'x']",x**3 + 3*x**2*tan(x) + 3*x*tan(x)**2 + tan(x)**3,8*x**3
"['add', 'pow', 'add', 's+', '1', 'mul', 's+', '4', 'x', 's-', '1', 'add', 'mul', 's-', '1', 'mul', 'x', 'pow', 'add', 's+', '1', 'mul', 's+', '4', 'x', 's-', '1', 'mul', 's-', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'add', 's+', '1', 'mul', 's+', '4', 'x', 's-', '1']",-4*x**2/(4*x + 1) - x/(4*x + 1) + 1/(4*x + 1),256*x**4 - 64*x**3 + 16*x**2 - 5*x + 1
"['cos', 'cos', 'x']",cos(cos(x)),x**4*(-3*cos(1) - sin(1))/24 + x**2*sin(1)/2 + cos(1)
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['acot', 'mul', 'x', 'sin', 'x']",acot(x*sin(x)),x**4/6 - x**2 + pi/2
"['add', 's+', '2', 'mul', 's+', '2', 'x']",2*x + 2,2*x + 2
"['tan', 'x']",tan(x),x**3/3 + x
"['add', 'pow', 'x', 's+', '4', 'mul', 's-', '2', 'x']",x**4 - 2*x,x**4 - 2*x
"['add', 'x', 'add', 'pow', 'tan', 'x', 's+', '2', 'sin', 'pow', 'x', 's+', '4']",x + sin(x**4) + tan(x)**2,5*x**4/3 + x**2 + x
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'x', 'mul', 'x', 'acos', 'x']",x**2 + x*acos(x) - x,-x**4/6 + x*(-1 + pi/2)
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['asin', 'add', 'x', 'pow', 'x', 's+', '2']",asin(x**2 + x),x**4/2 + x**3/6 + x**2 + x
"['mul', 's+', '3', 'pow', 'x', 's+', '4']",3*x**4,3*x**4
"['mul', 's+', '2', 'mul', 'x', 'pow', 'acot', 'pow', 'x', 's+', '2', 's-', '1']",2*x/acot(x**2),8*x**3/pi**2 + 4*x/pi
"['add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'sin', 'x']",2*x**2 + 2*sin(x),-x**3/3 + 2*x**2 + 2*x
"['pow', 'add', 's+', '1', 'add', 'pow', 'x', 's+', '2', 'mul', 'x', 'sin', 'x', 's-', '1']",1/(x**2 + x*sin(x) + 1),25*x**4/6 - 2*x**2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 's+', '3', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 'x', 'sin', 'x']",x**3 + 2*x**2 + x*sin(x),-x**4/6 + x**3 + 3*x**2
"['pow', 'acot', 'mul', 'x', 'pow', 'pow', 'x', 's+', '5', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 's+', '2']",acot(x*sqrt(x**5))**2,pi**2/4
"['sin', 'cos', 'add', 'sin', 'x', 'tan', 'x']",sin(cos(sin(x) + tan(x))),x**4*(-48*sin(1) + 8*cos(1))/24 - 2*x**2*cos(1) + sin(1)
"['add', 's-', '1', 'add', 'pow', 'sin', 'x', 's+', '3', 'add', 'mul', 's-', '3', 'pow', 'sin', 'x', 's+', '2', 'mul', 's+', '3', 'sin', 'x']",sin(x)**3 - 3*sin(x)**2 + 3*sin(x) - 1,x**4 + x**3/2 - 3*x**2 + 3*x - 1
"['mul', 'exp', 'mul', 's+', '6', 'x', 'exp', 'mul', 's+', '6', 'tan', 'x']",exp(6*x)*exp(6*tan(x)),888*x**4 + 290*x**3 + 72*x**2 + 12*x + 1
"['asin', 'cos', 'add', 'x', 'cos', 'x']",asin(cos(x + cos(x))),x**4*(-18*sin(1)*cos(1)**2/(1 - cos(1)**2) - 7*sin(1) - 18*sin(1)**2*cos(1)**3/(1 - cos(1)**2)**2 - 7*sin(1)**2*cos(1)/(1 - cos(1)**2) - 2*cos(1) + 3*cos(1)**3/(1 - cos(1)**2) + 15*sin(1)**4*cos(1)**3/(1 - cos(1)**2)**3 + 9*sin(1)**4*cos(1)/(1 - cos(1)**2)**2 + 6*sin(1)**3/(1 - cos(1)**2) + 18*sin(1)**3*cos(1)**2/(1 - cos(1)**2)**2)/(24*sqrt(1 - cos(1)**2)) + x**3*(-3*sin(1)**2*cos(1)/(1 - cos(1)**2) - 3*sin(1)**3*cos(1)**2/(1 - cos(1)**2)**2 - sin(1)**3/(1 - cos(1)**2) + sin(1) + 3*sin(1)*cos(1)**2/(1 - cos(1)**2) + 3*cos(1))/(6*sqrt(1 - cos(1)**2)) + x**2*(-cos(1) + sin(1)**2*cos(1)/(1 - cos(1)**2) + sin(1))/(2*sqrt(1 - cos(1)**2)) - x*sin(1)/sqrt(1 - cos(1)**2) - 1 + pi/2
"['pow', 'x', 's+', '3']",x**3,x**3
"['add', 's+', '1', 'x']",x + 1,x + 1
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'mul', 'x', 'sin', 'x']",-x**5 + x*sin(x),-x**4/6 + x**2
"['add', 'pow', 'cos', 'pow', 'x', 's+', '2', 's+', '4', 'add', 'mul', 's+', '1', '6', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '8', 'mul', 'x', 'pow', 'cos', 'pow', 'x', 's+', '2', 's+', '3', 'add', 'mul', 's+', '2', '4', 'mul', 'pow', 'x', 's+', '2', 'pow', 'cos', 'pow', 'x', 's+', '2', 's+', '2', 'mul', 's+', '3', '2', 'mul', 'pow', 'x', 's+', '3', 'cos', 'pow', 'x', 's+', '2']",16*x**4 + 32*x**3*cos(x**2) + 24*x**2*cos(x**2)**2 + 8*x*cos(x**2)**3 + cos(x**2)**4,14*x**4 + 32*x**3 + 24*x**2 + 8*x + 1
"['mul', 's+', '2', 'pow', 'x', 's+', '3']",2*x**3,2*x**3
"['acot', 'x']",acot(x),x**3/3 - x + pi/2
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'sin', 'x']",x**2 - sin(x),x**3/6 + x**2 - x
"['mul', 's+', '2', 'x']",2*x,2*x
"['acot', 'pow', 'x', 's+', '2']",acot(x**2),-x**2 + pi/2
"['cos', 'add', 'x', 'pow', 'x', 's+', '3']",cos(x**3 + x),-23*x**4/24 - x**2/2 + 1
"['add', 'pow', 'x', 's+', '3', 'mul', 'x', 'tan', 'tan', 'pow', 'x', 's+', '3']",x**3 + x*tan(tan(x**3)),x**4 + x**3
"['pow', 'cos', 'pow', 'x', 'pow', 'x', 's+', '2', 's+', '3']",cos(x**(x**2))**3,cos(1)**3
"['add', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '6', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '4', 'mul', 's+', '3', 'pow', 'x', 's+', '5']",x**6 + 3*x**5 + 3*x**4 + x**3,3*x**4 + x**3
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['pow', 'x', 's+', '3']",x**3,x**3
"['tan', 'mul', 's+', '2', 'x']",tan(2*x),8*x**3/3 + 2*x
"['add', 'pow', 'x', 's+', '2', 'mul', 's-', '2', 'pow', 'x', 's+', '4']",-2*x**4 + x**2,-2*x**4 + x**2
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '6', 'add', 'pow', 'x', 's+', '3', '6', 'add', 'mul', 's-', '2', '0', 'pow', 'x', 's+', '2', '1', 'add', 'mul', 's-', '1', '2', 'pow', 'x', 's+', '1', '0', 'add', 'mul', 's-', '1', '2', 'pow', 'x', 's+', '2', '0', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '9', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '1', '1', 'add', 'mul', 's-', '6', 'pow', 'x', 's+', '3', '1', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '4', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '1', '4', 'add', 'mul', 's+', '3', 'pow', 'x', 's+', '2', '5', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '1', '6', 'add', 'mul', 's+', '1', '5', 'pow', 'x', 's+', '2', '6', 'mul', 's+', '1', '8', 'pow', 'x', 's+', '1', '5']",x**36 - 6*x**31 + 15*x**26 + 3*x**25 - 20*x**21 - 12*x**20 + 15*x**16 + 18*x**15 + 3*x**14 - 6*x**11 - 12*x**10 - 6*x**9 + x**6 + 3*x**5 + 3*x**4 + x**3,3*x**4 + x**3
"['add', 'x', 'add', 'mul', 'x', 'pow', 'add', 'x', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'acos', 'x']",x*sqrt(x**2 + x) + x + acos(x),pi/2
"['add', 's+', '1', 'mul', 's-', '1', 'sin', 'pow', 'x', 's+', '2']",1 - sin(x**2),1 - x**2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'x']",-x**2 + 2*x,-x**2 + 2*x
"['add', 'mul', 's-', '1', 'x', 'cos', 'x']",-x + cos(x),x**4/24 - x**2/2 - x + 1
"['asin', 'add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '5', 'add', 'pow', 'x', 's+', '9', 'add', 'mul', 's-', '4', 'pow', 'x', 's+', '6', 'add', 'mul', 's-', '4', 'pow', 'x', 's+', '8', 'mul', 's+', '6', 'pow', 'x', 's+', '7']",asin(x**9 - 4*x**8 + 6*x**7 - 4*x**6 + x**5 + x**2),x**2
"['mul', 's+', '2', 'x']",2*x,2*x
"['mul', 's+', '2', 'x']",2*x,2*x
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '6']",x**6 + x**2,x**2
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'mul', 's+', '2', 'x', 'tan', 'x']",2*x + tan(x),x**3/3 + 3*x
"['pow', 'x', 's+', '4']",x**4,x**4
"['pow', 'ln', 'add', 'x', 'acot', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(log(x + acot(x))),x**3/(3*pi*sqrt(log(pi/2))) + sqrt(log(pi/2))
"['pow', 'cos', 'mul', 's+', '2', 'x', 's-', '1']",1/cos(2*x),10*x**4/3 + 2*x**2 + 1
"['mul', 's+', '2', 'x']",2*x,2*x
"['mul', 'x', 'pow', 'add', 'pow', 'x', 's+', '3', 'cos', 'x', 's-', '1']",x/(x**3 + cos(x)),-x**4 + x**3/2 + x
"['add', 'pow', 'x', 's+', '3', 'pow', 'x', 's+', '4']",x**4 + x**3,x**4 + x**3
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'tan', 'add', 'x', 'pow', 'x', 's+', '6']",x**2 + x*tan(x**6 + x),x**4/3 + 2*x**2
"['exp', 'tan', 'add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'x']",exp(tan(x**5 - x)),3*x**4/8 - x**3/2 + x**2/2 - x + 1
"['pow', 'cos', 'sin', 'add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '5', 's+', '3']",cos(sin(x**5 + x**2))**3,1 - 3*x**4/2
"['pow', 'x', 's+', '2']",x**2,x**2
"['pow', 'x', 's+', '4']",x**4,x**4
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['mul', 'x', 'exp', 'x']",x*exp(x),x**4/6 + x**3/2 + x**2 + x
"['add', 'x', 'sin', 'x']",x + sin(x),-x**3/6 + 2*x
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'x']",x**2 + 2*x,x**2 + 2*x
"['add', 's+', '1', 'x']",x + 1,x + 1
"['cos', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",cos(2*x**2),1 - 2*x**4
"['add', 'mul', 's-', '1', 'x', 'mul', 's-', '1', 'sin', 'x']",-x - sin(x),x**3/6 - 2*x
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'x']",x**2 + 2*x,x**2 + 2*x
"['pow', 'cos', 'x', 'mul', 's+', '6', 'x']",cos(x)**(6*x),1 - 3*x**3
"['add', 'mul', 's-', '1', 'ln', 's+', '2', 'ln', 'cos', 'x']",log(cos(x)) - log(2),-x**4/12 - x**2/2 - log(2)
"['mul', 's+', '3', 'x']",3*x,3*x
"['acot', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",acot(sqrt(x)),pi/2
"['pow', 'x', 's+', '2']",x**2,x**2
"['mul', 'pow', 'acos', 'x', 's-', '1', 'sin', 'x']",sin(x)/acos(x),x**4*(-8/pi + 8*(1 + 24/pi**2)/pi)/(12*pi) + x**3*(-1 + 24/pi**2)/(3*pi) + 4*x**2/pi**2 + 2*x/pi
"['mul', 'x', 'pow', 'add', 'x', 'mul', 's-', '1', 'cos', 'x', 's-', '1']",x/(x - cos(x)),-2*x**4 - 3*x**3/2 - x**2 - x
"['add', 'mul', 's-', '2', 'x', 'exp', 'x']",-2*x + exp(x),x**4/24 + x**3/6 + x**2/2 - x + 1
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '3']",x**3 + x**2,x**3 + x**2
"['pow', 'ln', 'add', 'x', 'acot', 'x', 'x']",log(x + acot(x))**x,x**4*(log(log(pi/2))**4 + 16/(pi*log(pi/2)))/24 + x**3*log(log(pi/2))**3/6 + x**2*log(log(pi/2))**2/2 + x*log(log(pi/2)) + 1
"['asin', 'mul', 's+', '2', 'x']",asin(2*x),4*x**3/3 + 2*x
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 'pow', 'x', 's+', '2', 'cos', 'x', 'mul', 'x', 'mul', 'acos', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'cos', 'x']",x**2*cos(x) - x**2 + x*cos(x)*acos(sqrt(x)),pi*x/2
"['pow', 'cos', 'pow', 'x', 's+', '2', 's-', '5']",cos(x**2)**(-5),5*x**4/2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'mul', 's-', '1', 'sin', 'add', 'x', 'cos', 'x']",x - sin(x + cos(x)),x**4*(-7*cos(1) + 2*sin(1))/24 + x**3*(-3*sin(1) + cos(1))/6 + x**2*(cos(1) + sin(1))/2 + x*(1 - cos(1)) - sin(1)
"['tan', 'x']",tan(x),x**3/3 + x
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'add', 'mul', 's-', '1', 'tan', 'x', 'acot', 'add', 's+', '1', 'pow', 'x', 's+', '4']",x - tan(x) + acot(x**4 + 1),-x**4/2 - x**3/3 + pi/4
"['mul', 'x', 'mul', 'exp', 'mul', 's-', '1', 'x', 'exp', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x*exp(-x)*exp(-x**2),5*x**4/6 - x**3/2 - x**2 + x
"['mul', 's-', '1', 'exp', 'mul', 's+', '3', 'x']",-exp(3*x),-27*x**4/8 - 9*x**3/2 - 9*x**2/2 - 3*x - 1
"['add', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'x']",-x + sqrt(1 - x**2),-x**4/8 - x**2/2 - x + 1
"['add', 'mul', 'pow', 'x', 's+', '3', 'exp', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'mul', 'x', 'exp', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",x**3*exp(sqrt(x)) - x*exp(sqrt(x)),-x
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'add', 'mul', 'x', 'pow', 'acot', 'pow', 'x', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'acos', 'x']",-x**2 + x*sqrt(acot(x**x)) + acos(x),pi/2
"['add', 'mul', 's+', '2', 'x', 'sin', 'x']",2*x + sin(x),-x**3/6 + 3*x
"['sin', 'tan', 'add', 'x', 'pow', 'x', 's+', '4']",sin(tan(x**4 + x)),x**4 + x**3/6 + x
"['add', 'pow', 'x', 's+', '6', 'add', 'mul', 's+', '6', 'pow', 'x', 's+', '5', 'add', 'mul', 's+', '8', 'pow', 'x', 's+', '3', 'mul', 's+', '1', '2', 'pow', 'x', 's+', '4']",x**6 + 6*x**5 + 12*x**4 + 8*x**3,12*x**4 + 8*x**3
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 's+', '2', 'mul', 'x', 'sin', 'pow', 'x', 's+', '2']",x**2 + x*sin(x**2),x**3 + x**2
"['add', 's+', '1', 'add', 'mul', 's+', '2', 'x', 'mul', 'pow', 'x', 's+', '7', 'pow', 'sin', 'x', 's+', '4']",x**7*sin(x)**4 + 2*x + 1,2*x + 1
"['add', 'mul', 's-', '1', 'sin', 'x', 'add', 'mul', 's+', '3', 'x', 'sin', 'mul', 's+', '2', 'x']",3*x - sin(x) + sin(2*x),-7*x**3/6 + 4*x
"['pow', 'add', 'mul', 's-', '1', 'x', 'exp', 'mul', 's+', '2', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(-x + exp(2*x)),-21*x**4/128 + 11*x**3/48 + 7*x**2/8 + x/2 + 1
"['acos', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",acos(sqrt(x)),pi/2
"['add', 'x', 'tan', 'add', 'x', 'exp', 'x']",x + tan(x + exp(x)),x**4*(1 + tan(1)**2)*(22*tan(1) + 49 + 144*tan(1)**2 + 128*tan(1)**3 + 256*(1 + tan(1)**2)*tan(1))/24 + x**3*(1 + tan(1)**2)*(17 + 12*tan(1) + 48*tan(1)**2)/6 + x**2*(1 + 8*tan(1))*(1 + tan(1)**2)/2 + x*(3 + 2*tan(1)**2) + tan(1)
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '5']",x**5 + x**2,x**2
"['add', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2 + x,2*x**2 + x
"['mul', 'x', 'mul', 'pow', 'cos', 'pow', 'x', 's+', '3', 's-', '1', 'exp', 'mul', 's+', '2', 'x']",x*exp(2*x)/cos(x**3),4*x**4/3 + 2*x**3 + 2*x**2 + x
"['asin', 'pow', 'exp', 'x', 'x']",asin(exp(x)**x),pi/2
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['exp', 'x']",exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['acot', 'pow', 'x', 's+', '4']",acot(x**4),-x**4 + pi/2
"['cos', 'add', 'x', 'cos', 'pow', 's+', '0', 'x']",cos(x + cos(0**x)),cos(cos(1))
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['acot', 'x']",acot(x),x**3/3 - x + pi/2
"['add', 'pow', 'x', 's+', '2', 'pow', 'x', 's+', '4']",x**4 + x**2,x**4 + x**2
"['add', 'x', 'asin', 'mul', 'x', 'pow', 'cos', 'x', 's-', '1']",x + asin(x/cos(x)),2*x**3/3 + 2*x
"['pow', 'cos', 'mul', 's+', '2', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(cos(2*x**2)),1 - x**4
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'cos', 'x']",x + cos(x),x**4/24 - x**2/2 + x + 1
"['add', 's+', '1', 'acot', 'x']",acot(x) + 1,x**3/3 - x + 1 + pi/2
"['add', 'x', 'mul', 'x', 'sin', 'x']",x*sin(x) + x,-x**4/6 + x**2 + x
"['pow', 'add', 's+', '1', 'x', 's-', '1']",1/(x + 1),x**4 - x**3 + x**2 - x + 1
"['mul', 's+', '2', 'mul', 'x', 'pow', 'cos', 'mul', 'x', 'acot', 'x', 's-', '1']",2*x/cos(x*acot(x)),-pi*x**4 + pi**2*x**3/4 + 2*x
"['add', 'x', 'acot', 'x']",x + acot(x),x**3/3 + pi/2
"['mul', 's+', '2', 'pow', 'x', 's+', '3']",2*x**3,2*x**3
"['mul', 'x', 'cos', 'cos', 'x']",x*cos(cos(x)),x**3*sin(1)/2 + x*cos(1)
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'mul', 's+', '2', 'x', 'exp', 'sin', 'add', 'pow', 'x', 's+', '3', '6', 'pow', 'x', 'x']",2*x + exp(sin(x**36 + x**x)),exp(sin(1))
"['mul', 's-', '1', 'x']",-x,-x
"['pow', 'tan', 'add', 's+', '1', 'pow', 'x', 's+', '6', 's+', '2']",tan(x**6 + 1)**2,tan(1)**2
"['add', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'x']",x**3 + 2*x,x**3 + 2*x
"['add', 'x', 'mul', 'x', 'sin', 'x']",x*sin(x) + x,-x**4/6 + x**2 + x
"['add', 'mul', 's-', '1', 'x', 'mul', 'x', 'sin', 'pow', 'x', 's+', '2']",x*sin(x**2) - x,x**3 - x
"['add', 'x', 'pow', 'asin', 'pow', 'x', 's+', '2', 's+', '2']",x + asin(x**2)**2,x**4 + x
"['sin', 'mul', 'x', 'pow', 'pow', 'cos', 'x', 'pow', 'x', 's+', '2', 'x']",sin(x*(cos(x)**(x**2))**x),-x**3/6 + x
"['mul', 's-', '1', 'tan', 'add', 'pow', 'x', 's+', '2', 'mul', 's-', '1', 'x']",-tan(x**2 - x),-x**4 + x**3/3 - x**2 + x
"['mul', 's+', '2', 'x']",2*x,2*x
"['sin', 'mul', 's+', '3', 'x']",sin(3*x),-9*x**3/2 + 3*x
